<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Aviat Networks,AVNW,20130222,3.74,3.74,3.65,3.7,218500
Homeaway Inc.,AWAY,20130222,28.47,28.98,28.06,28.65,1614700
Aware,AWRE,20130222,5.18,5.22,5.15,5.2,35000
Abraxas Petroleum Corp.,AXAS,20130222,2.11,2.12,2.08,2.12,350500
Accelerate Diagnostics Inc.,AXDX,20130222,5.5,5.75,5.28,5.68,30500
ACWI Ex-US Financials MSCI Ishares,AXFN,20130222,25.11,25.11,24.7,25,3700
AC Asia Ex Japan Smallcap MSCI Ishares,AXJS,20130222,57.48,57.48,57.48,57.48,200
Axt Inc,AXTI,20130222,2.86,2.86,2.81,2.86,70200
Aspen Technology,AZPN,20130222,30.54,30.75,30.25,30.74,294500
Natus Medical Inc.,BABY,20130222,12.17,12.17,11.97,12,52600
Einstein Noah Restaurant Group,BAGL,20130222,13.15,13.4,13.09,13.32,97100
Books-A-Million,BAMM,20130222,2.41,2.46,2.3,2.4,34000
First Pactrust Bancorp,BANC,20130222,11.21,11.21,11.13,11.16,7500
First Pactrust Bancorp Inc.,BANCL,20130222,25.38,25.6,25.38,25.6,3600
Bancfirst Corp.,BANF,20130222,41.18,41.74,41.03,41.65,13500
Bancfirst Corp.,BANFP,20130222,27,27,27,27,100
Banner Corp.,BANR,20130222,30.13,30.19,29.65,30.15,194400
Bioanalytical Systems,BASI,20130222,1.66,1.66,1.53,1.56,12300
Bed Bath & Beyond Inc.,BBBY,20130222,57.63,57.76,57.35,57.6,1508800
Bbcn Bancorp Inc,BBCN,20130222,12.61,12.67,12.5,12.66,140100
Breitburn Energy Partners L.P.,BBEP,20130222,19.35,19.74,19.34,19.56,659400
Beasley Broadcast Group,BBGI,20130222,5.12,5.22,5.12,5.17,1600
Bridge Capital Holdings,BBNK,20130222,15.29,15.59,15.29,15.59,7300
Black Box Corp.,BBOX,20130222,25.79,26.42,25.64,25.91,81500
Bravo Brio Restaurant Group,BBRG,20130222,15.04,15.14,14.87,14.95,338100
Blackberry,BBRY,20130222,13.85,13.98,13.04,13.18,42572000
Barrett Business Services,BBSI,20130222,44.08,44.88,43.99,44.47,32600
Bcb Bancorp Inc. [Nj],BCBP,20130222,9.84,10.12,9.71,10.12,3500
Bcd Semiconductor Manufacturing Ltd,BCDS,20130222,7.95,7.95,7.93,7.93,60800
Berjaya Philippines Inc,BCOR,20130222,15.9,16.05,15.73,16.02,168200
Brightcove Inc.,BCOV,20130222,6.4,6.54,6.37,6.5,258700
Balchem Corp.,BCPC,20130222,38.09,39.5,37.75,39.42,222500
Biocryst Pharmaceuticals,BCRX,20130222,1.25,1.29,1.25,1.26,212800
Bcsb Bancorp,BCSB,20130222,15.94,15.94,15.94,15.94,700
Boulder Brands Inc,BDBD,20130222,12.56,12.67,12.11,12.28,548500
Black Diamond,BDE,20130222,8.22,8.41,8.13,8.36,92700
Bridge Bancorp,BDGE,20130222,21.35,21.9,21.35,21.87,17600
Birner Dental Management Services,BDMS,20130222,17.6,17.6,17.05,17.05,2600
Biodelivery Sciences International,BDSI,20130222,4.06,4.12,3.97,4.02,174700
Cardionet,BEAT,20130222,2.54,2.54,2.44,2.53,18300
Be Aerospace,BEAV,20130222,52.59,53.06,52.24,52.82,933800
Bebe Stores,BEBE,20130222,4.14,4.18,3.99,4.02,629300
Beacon Roofing Supply,BECN,20130222,36.44,36.99,35.76,36.72,363200
Bel Fuse Inc.,BELFA,20130222,15.8,15.8,15.62,15.78,1600
Bel Fuse Inc.,BELFB,20130222,17.98,18.32,17.89,18.08,12600
Berkshire Bancorp,BERK,20130222,8.44,8.44,8.25,8.34,8100
Bankfinancial Corp.,BFIN,20130222,7.92,8.04,7.74,8.02,84000
Bluefly,BFLY,20130222,0.72,0.84,0.72,0.84,12800
Bgc Partners,BGCP,20130222,4.3,4.31,4.17,4.27,1274000
Big 5 Sporting Goods Corp.,BGFV,20130222,14.07,14.85,13.8,14.8,220500
Bg Medicine,BGMD,20130222,1.92,1.94,1.86,1.91,122500
Bgs Acquisition Corp.,BGSCW,20130222,0.16,0.16,0.16,0.16,50000
Ultra Nasdaq Biotechnology Proshares,BIB,20130222,63.83,65.3,63.83,65.3,10600
BICK Index First Trust,BICK,20130222,24.95,25.01,24.94,25.01,5300
Baidu,BIDU,20130222,89.92,89.96,87.54,89.18,3167500
Biogen Idec Inc,BIIB,20130222,163.14,164.67,162.69,164.4,746600
Bioclinica Inc,BIOC,20130222,7.23,7.24,7.23,7.24,5400
Biodel Inc.,BIOD,20130222,2.74,2.77,2.7,2.72,7500
Biofuel Energy,BIOF,20130222,5.28,5.7,5.19,5.34,328200
Biolase Technology,BIOL,20130222,3.45,3.48,3.36,3.39,133600
Bioscrip,BIOS,20130222,11.66,11.76,11.5,11.56,183700
Actuate Corp.,BIRT,20130222,6.12,6.37,6.12,6.31,317300
Bj's Restaurants,BJRI,20130222,30.74,31.23,30.42,31.11,301100
Blackrock Kelso Capital Corp.,BKCC,20130222,10.28,10.38,10.21,10.3,472800
Blueknight Energy,BKEP,20130222,8.16,8.16,7.79,7.97,30800
Blueknight Energy Partners L.P.,BKEPP,20130222,8.81,8.99,8.81,8.99,59800
Bank Mutual Corp.,BKMU,20130222,5.88,5.88,5.82,5.88,77800
Oak Ridge Financial Services,BKOR,20130222,4.75,4.75,4.75,4.75,100
Bank Of South Carolina,BKSC,20130222,11.76,11.8,11.75,11.75,4100
The Bank Of Kentucky Financial,BKYF,20130222,26.79,26.79,26.33,26.62,6100
Ballard Power Systems,BLDP,20130222,0.72,0.72,0.7,0.72,35700
Builders Firstsource,BLDR,20130222,5.69,6.03,5.13,5.93,1207800
Bridgeline Digital,BLIN,20130222,1.45,1.45,1.38,1.42,12200
